T,X1,X2,ID,REP
3,169.05,94.344,1,2
5,87.875,33.143,2,2
4,111.11,40.406,3,2
78,68.338,30.964,4,2
93,74.862,34.775,5,2
126,61.04,33.454,6,2
138,74.784,40.889,7,2
225,95.705,52.21,8,2
310,53.864,33.902,9,2
422,22.417,11.416,10,2
643,72.144,39.16,11,2
520,35.345,26.489,12,2
743,45.959,30.072,13,2
779,37.769,28.175,14,2
5,169.05,94.344,1,1
8,87.875,33.143,2,1
6,111.11,40.406,3,1
105,68.338,30.964,4,1
122,74.862,34.775,5,1
180,61.04,33.454,6,1
153,74.784,40.889,7,1
294,95.705,52.21,8,1
433,53.864,33.902,9,1
614,22.417,11.416,10,1
973,72.144,39.16,11,1
774,35.345,26.489,12,1
1134,45.959,30.072,13,1
1194,37.769,28.175,14,1
3,169.05,94.344,1,3
3,87.875,33.143,2,3
3,111.11,40.406,3,3
59,68.338,30.964,4,3
69,74.862,34.775,5,3
88,61.04,33.454,6,3
101,74.784,40.889,7,3
129,95.705,52.21,8,3
141,53.864,33.902,9,3
156,22.417,11.416,10,3
219,72.144,39.16,11,3
229,35.345,26.489,12,3
230,45.959,30.072,13,3
317,37.769,28.175,14,3
