"","C5_r","C5_decay","C5_0","C5_in","C5_inputtime","C5_RMSE","C4_index","C5_index","C4_r","C4_decay","C4_0","C4_in","C4_inputtime","C4_RMSE","C3_index","C3_r","C3_decay","C3_0","C3_in","C3_inputtime","C3_RMSE","C2_index","C2_r","C2_decay","C2_0","C2_in","C2_inputtime","C2_RMSE","C1_index","C1_r","C1_decay","C1_0","C1_in","C1_inputtime","C1_RMSE","sumRMSE","index","time","C1","C2","C3","C4","C5"
"1",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,0,49,35,19,15,14
"2",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,20,48.0396978288424,34.8694152225602,18.958087192074,15.0840280026959,14.0602697463998
"3",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,40,47.0982204770857,34.7393176793606,18.9160685575737,15.1671828897968,14.12090969904
"4",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,60,46.1751966180054,34.6097055411575,18.8739468815937,15.2494688613308,14.1819139588957
"5",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,80,45.2702799518405,34.4805770756475,18.8317247817077,15.3308899089515,14.2432769536737
"6",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,100,44.3830912596679,34.3519303563845,18.7894051470458,15.4114504878186,14.3049925014063
"7",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,120,43.5132893658566,34.2237636168874,18.7469906023802,15.4911547011461,14.3670549502553
"8",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,140,42.6605332869735,34.0960750661157,18.7044837902123,15.5700067227834,14.4294585829943
"9",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,160,41.8244889975696,33.9688629199806,18.6618873212391,15.6480107258996,14.4921977198482
"10",1,0.000100497462439073,14,0,85,1.83514515188377,7,3,1,0.000294074400823408,15,0,85,3.20967481394299,22,1,0.000454442172233583,19,0,85,4.70099072860263,56,0,0.000186898420708345,35,0,85,8.61492450073765,36,0,0.000989609104403761,49,0,85,14.8997924494822,33.2605276446492,1,180,41.0048292512775,33.842125401284,18.6192037748425,15.7251708826858,14.5552667182256
